hod,LOGM_CUT,LOGM1,SIGMA,ALPHA,KAPPA,ALPHA_C,ALPHA_S,S,ACENT,ASAT,BCENT,BSAT
5,13.03596954,14.29593403,1.043726439,0.345558915,0.4248901893,0.1829002032,1.175038175,0.7064924292,-0.3281081451,-0.8240171246,-0.2282596427,-0.1856415471
6,12.6066297,14.49961769,0.2249054605,1.095677141,0.06111066068,0.2927631063,1.231993261,0.6213931428,-0.7102974382,-0.5143735754,-0.2641973403,0.3927575273
7,12.51828853,14.9006636,0.05349304669,1.023269786,0.8877901354,0.4964493759,0.9392127127,0.6727669941,-0.4091633192,-0.5634571107,0.1697302033,0.1120429594
8,13.45790364,14.52155901,1.135147895,1.101447361,0.3696529399,0.5529853737,1.426306313,-0.6658203789,-0.05858226431,0.5130798491,-0.003742475922,0.1446487148
9,12.9201575,14.60707323,0.0105719149,0.7485074415,0.8722519241,0.6042534795,1.077703949,0.8620669351,0.7531481425,0.8641634881,-0.4500746392,-0.8857215813
13,13.05911153,13.68850254,6.165288947,1.024528264,0.2302982419,0.4281929804,0.9456865556,-0.3816011789,0.5673690571,-0.1875501075,-0.3371173455,0.9823349321
14,12.79884994,14.42665868,1.101046249,0.3389696053,0.1193321267,0.5434854194,1.086066904,-0.05466313589,-0.9121317729,-0.8021739734,0.1159791216,-0.1891779033
18,13.25072918,14.02327788,0.6969593135,0.3749094131,0.05654266423,0.41392313,0.8420781003,0.1750812817,-0.2195789626,0.7271080285,0.09239755799,0.0932120897
20,12.54285341,14.29588442,0.003007177357,1.283305937,0.1040954378,0.3190231075,1.064265143,0.3846865917,0.4760342972,-0.08712916297,-0.2693020765,0.6093095275
23,13.2908842,13.85837523,8.332925983,1.448024992,0.5736811814,0.4781530878,0.8912076497,0.02358214223,-0.4540090939,0.3784074593,-0.2339832573,0.1055758651
24,13.12737256,14.7037437,2.198822976,0.6439124567,0.5120033735,0.06241264879,1.375691655,0.1276187945,0.02501366181,-0.3081383472,-0.2507757993,0.9282627636
25,12.73138926,14.48645142,0.899108159,1.293546706,0.2195758443,0.02373210366,1.039174645,-0.1682613817,-0.8069471851,0.8801977939,0.03149297115,-0.1355845481
27,12.75817044,14.03902412,0.02791668735,0.3131090392,0.6530107548,0.445727611,0.6229987225,0.2195689075,0.4666860998,-0.7368864129,-0.6356204845,-0.4556066357
