hod,LOGM_CUT,LOGM1,SIGMA,ALPHA,KAPPA,ALPHA_C,ALPHA_S,S,ACENT,ASAT,BCENT,BSAT
0,12.56090873,13.78250679,1.992987352,1.204573452,0.9768364436,0.2973401537,0.7792860731,0.06104767297,-0.5797821718,0.9181208763,-0.4286603212,-0.07345800393
5,12.93004896,14.78554172,6.985028422,1.18895974,0.6105999623,0.1654152256,1.427191056,0.1395942614,-0.4002840202,0.9267937878,0.05042703355,0.206094608
7,12.83648339,14.65610444,0.07998699608,1.036165745,0.2520334105,0.577898711,0.6168254782,0.4260350366,-0.8535246844,0.326924945,0.048819494,-0.5804629537
9,13.27866733,13.64209268,3.275410076,1.043788928,0.6604078004,0.2152653037,1.142748452,-0.8352156203,-0.1113011711,-0.7737048808,-0.4042342014,0.1891703084
10,12.66642363,14.71040285,8.197325092,1.18277834,0.5372166272,0.4690909958,0.9499517578,-0.6033390346,0.6086305927,0.941976512,-0.3947680274,-0.3276317625
11,13.1650047,14.06998308,1.872644799,0.9206860819,0.7277208705,0.2736641356,1.206176622,-0.9524825484,0.9153984949,0.2032884973,-0.1637004413,-0.7748414509
12,13.50592428,14.18141037,1.596033487,0.8518535292,0.1421398366,0.4259911719,1.13849633,0.9859160865,0.8441425651,-0.6981898244,-0.2133091549,-0.2331772954
14,12.84392371,13.88395943,0.002542303033,1.003980948,0.2163970097,0.5412576602,1.341219756,-0.6653395623,0.8303145016,-0.8381439762,-0.1606566098,0.3275987881
17,13.28657472,14.69264448,1.254076775,0.7361476521,0.07149003237,0.2519251267,1.212131789,0.7038621386,0.8785855358,0.345165919,-0.6325386831,0.8397894396
18,12.63712048,13.72606645,0.1183068552,1.2514592,0.8259594984,0.1501957351,1.362254481,-0.2268103032,-0.07105970115,-0.06521702305,-0.5987900332,0.4948962452
19,12.99808524,14.91206013,2.275516682,0.7646001237,0.07230263393,0.04850424112,0.898822883,-0.9356258489,0.2526058214,0.4337220481,0.002053142692,-0.7475901877
21,13.13802855,14.41707443,0.6062456879,1.378334406,0.115376699,0.5450809186,1.31353887,-0.5252639101,-0.01222010536,0.221250498,-0.3732337384,0.3673081027
22,12.74584674,13.73871342,0.003561804468,0.3793700156,0.9720305373,0.2712189917,1.212768051,0.3019669083,0.7841160474,-0.3492357219,-0.6350857036,0.5726894598
23,12.63198762,14.51618248,1.896410446,0.9809916094,0.05003659335,0.2551514357,1.255560697,0.03524478282,-0.1806309622,0.8748043935,-0.281726488,-0.9507327397
