hod,LOGM_CUT,LOGM1,SIGMA,ALPHA,KAPPA,ALPHA_C,ALPHA_S,S,ACENT,ASAT,BCENT,BSAT
0,12.59935525,13.81301651,7.557402755,0.3946716107,0.689262588,0.3553659838,1.012819999,0.3840279762,-0.8931432578,0.07172894959,-0.5633657677,0.1981498547
1,13.46592532,14.77868721,3.880887545,0.381068275,0.8047458487,0.07125539154,1.21120931,-0.9488725161,0.500212646,-0.7562362203,-0.3943569428,0.2813371483
2,13.31704369,14.47643868,1.1652672,1.110976385,0.4628763033,0.1100123536,1.090775278,0.4169585358,0.5474251616,-0.9962976218,-0.02747588848,0.705882244
4,13.10752365,14.16722781,8.573224204,0.4752310726,0.7526265596,0.157905925,0.6625689639,-0.1828205826,0.3857004257,-0.4141834511,0.0653612635,0.1500660414
7,12.89762742,14.53964641,0.3013856418,0.9936460861,0.9082985118,0.1048414584,1.359400575,0.7017418795,-0.2728198276,-0.7356897099,-0.2133446945,0.0433597968
8,13.205461,14.41408394,1.04817658,1.021134524,0.5976986799,0.4157762356,0.7233838915,0.7646408131,-0.01433676483,-0.6330638189,0.03784689637,-0.403146504
9,12.53601095,14.72847257,0.3546490672,1.337553947,0.00633050567,0.4432259012,0.7487957877,0.4984057028,0.7836119349,0.09404549071,-0.004486304572,-0.5273257109
10,13.45171614,13.61875485,0.5828496427,0.7973226498,0.09060018745,0.3008018934,1.376420851,-0.5601841603,-0.8975823396,-0.5694392137,0.1700355054,0.2338706429
12,12.84085545,14.91062503,0.1600308705,1.179060122,0.2366082809,0.3199641772,0.5876355885,0.9977127513,-0.1482776461,0.04869353746,-0.130855338,0.4674319246
13,13.3650886,15.0511429,8.482883492,1.195805289,0.4142836781,0.2621566016,1.179202809,0.827440884,0.9132012758,-0.9748977746,-0.446050902,0.2052389951
15,13.00254036,13.97410983,1.257424452,1.330985451,0.4500528019,0.4210796498,1.282772299,0.2721977737,0.2798481252,-0.6274418706,-0.1834024524,-0.8509423868
16,12.65813383,13.6320728,0.01727369326,0.9837184168,0.3755210909,0.1473932314,0.829796382,0.242506828,0.0198712761,0.6526281705,-0.2114080979,0.3005276243
18,12.82525462,14.22189539,0.001782291309,1.427341093,0.351906723,0.1013855713,0.6695043047,-0.8830645124,-0.9787760728,-0.4032537255,-0.3161981418,-0.8939553108
19,12.80560233,13.63224965,3.383119809,0.9172277446,0.2426014587,0.1782546573,0.7774126935,0.4403061739,0.03677535265,0.4811912918,-0.4103863938,0.4278026949
22,12.85017244,13.91319433,0.2810458645,1.27781938,0.567947774,0.0875254755,0.8534120604,0.852120513,0.3675393329,0.9661496405,0.1977315319,-0.405692314
23,13.47289811,14.13351776,5.62454655,0.9804500778,0.9028311515,0.2474758634,1.211524829,-0.2087117787,-0.2541202503,0.7082940653,-0.5664286293,-0.2991770577
25,12.52960673,14.57584084,0.01582403387,1.201754218,0.01140266325,0.3775791524,0.6227816974,-0.8215154425,-0.4643313554,0.9020581661,-0.3910507025,0.09901006005
29,12.73962053,15.07426169,0.09191511709,0.9528068559,0.6301093729,0.03751842031,1.061353419,-0.6216916767,-0.7380832327,0.683598652,-0.188678206,-0.5765663302
30,12.73959779,14.25501463,0.004547095109,1.304684441,0.5521716293,0.1125038247,1.09181826,-0.5795582965,0.6702052044,0.5838526134,-0.5543921603,-0.4981339309
31,12.56332292,14.07557138,0.5481378745,0.4559430714,0.0362889529,0.2277229477,1.434593484,0.4123638436,-0.3395968569,-0.9372408758,-0.4872095137,0.1061586388
35,12.9296882,13.82369205,0.8931893128,1.305172798,0.1116674562,0.5705910991,1.434534775,-0.6765255605,-0.9842279731,-0.2297897429,0.09612691434,-0.7543550258
36,12.65816019,14.31121627,0.9834486432,0.4632960969,0.4334609353,0.1543747654,1.242118176,0.4699565945,0.5511529911,-0.5099390083,0.181713399,-0.8091046059
37,12.98741053,14.72655359,0.4618613794,0.5652818454,0.4502915472,0.1735433431,1.34193259,-0.4447340627,0.6052826174,-0.6059595592,-0.3501638155,-0.3272277067
38,12.66154925,13.83880326,0.02486485668,1.20801914,0.3905306183,0.3243157371,0.6167912963,-0.897728656,0.5614140852,-0.8770177816,-0.08652828862,0.535181044
39,13.25866453,14.73907739,0.6286827197,1.011211717,0.3826341004,0.00451101002,0.8937524092,-0.2483579855,-0.1274198501,-0.6099111879,-0.2356662005,-0.2141885886
40,12.80501781,14.69228947,0.07987045615,0.5396404369,0.4246427086,0.08272240879,0.8485368126,0.8121103447,0.4530621898,0.2127791663,0.09485492006,0.1417278787
44,13.01090231,13.93388045,2.020805813,1.313630119,0.2932552396,0.1116326307,0.9025652776,-0.7725489544,0.7973820517,0.5502762,0.1647315133,0.1076239478
45,12.86550614,13.79671735,0.03066453355,1.20434794,0.5604124199,0.1698464843,1.31982404,0.1461743263,-0.8923082848,-0.3804979909,-0.5558434977,-0.4043127049
46,12.90256846,13.82318807,0.04904866522,1.138922273,0.8505257681,0.5790461653,1.317428715,-0.07942093295,0.352599077,-0.275522323,-0.2019453182,-0.5356158674
47,12.79765893,13.71895295,0.001629664983,0.7605593585,0.5393962797,0.2129833965,1.112760194,0.9718144162,0.1223469611,0.949650603,-0.4526720383,-0.2461071645
48,12.6902262,13.6566384,0.02279810324,1.097919011,0.9523143463,0.0762483704,0.8224090331,0.4997191637,0.7507973269,0.3154175708,-0.1990946225,-0.7149321249
